,emp_no,first_name,last_name,birth_date,from_date,to_date,title
323,77815,Ronghao,Picaronny,1965-01-21,1993-06-09,9999-01-01,Engineer
324,78106,Ashish,Ratnaker,1965-01-09,2000-01-17,9999-01-01,Senior Staff
325,78363,Susumu,Fritzsche,1965-01-03,1998-06-23,9999-01-01,Engineer
326,78469,Leucio,Cappelli,1965-01-28,1997-08-22,9999-01-01,Staff
327,78871,Conor,Ghandeharizadeh,1965-01-15,1985-05-25,9999-01-01,Senior Engineer
328,79043,Katsuo,Hockney,1965-01-24,1999-11-07,9999-01-01,Technique Leader
329,79171,Guiseppe,Ellozy,1965-01-19,1991-01-12,9999-01-01,Senior Engineer
330,79310,Jeong,Cunliffe,1965-01-24,1996-10-27,9999-01-01,Senior Staff
331,79606,Arnd,Peir,1965-01-03,1986-12-11,9999-01-01,Senior Engineer
332,79763,Sanjoy,Barreiro,1965-01-20,1988-04-09,9999-01-01,Staff
333,79895,Fei,Murtagh,1965-01-30,1986-01-19,9999-01-01,Senior Staff
334,80067,Kazuhisa,Weiland,1965-01-19,1985-11-09,9999-01-01,Senior Staff
335,80203,Shakhar,Baik,1965-01-22,1993-12-01,9999-01-01,Staff
336,80432,Stella,Figueira,1965-01-17,1990-03-14,9999-01-01,Staff
337,80731,Shaowen,Eldridge,1965-01-25,1987-12-05,9999-01-01,Staff
338,80850,Koldo,Luit,1965-02-01,1995-04-16,9999-01-01,Engineer
339,80889,Shigeo,Linnainmaa,1965-01-07,1985-07-30,9999-01-01,Senior Engineer
340,80948,Harjit,Bardell,1965-01-27,1991-05-24,9999-01-01,Engineer
341,81105,Jaewon,Boissier,1965-01-14,1992-05-24,9999-01-01,Senior Engineer
342,81545,Larisa,Kornyak,1965-01-13,2000-02-07,9999-01-01,Technique Leader
343,81644,Divine,Ghandeharizadeh,1965-01-05,1997-11-28,9999-01-01,Staff
344,81995,Sreekrishna,Brender,1965-01-10,1990-03-22,9999-01-01,Engineer
345,82069,Yechezkel,Perfilyeva,1965-01-20,1994-11-03,9999-01-01,Engineer
346,82098,Poornachandra,Wilharm,1965-01-25,1991-04-20,9999-01-01,Engineer
347,82351,Stevo,Thambidurai,1965-01-26,1989-10-27,9999-01-01,Senior Staff
348,82511,Uwe,Koblick,1965-01-27,1998-04-04,9999-01-01,Engineer
349,82919,Shigeu,Claffy,1965-01-05,1998-12-19,9999-01-01,Engineer
350,82928,Alselm,Rikino,1965-01-27,1990-11-16,9999-01-01,Engineer
351,83280,Francesca,Ellozy,1965-01-07,1999-08-08,9999-01-01,Senior Engineer
352,83289,Shigeichiro,Engelmann,1965-01-09,1994-01-09,9999-01-01,Engineer
353,83509,Breannda,Collavizza,1965-01-04,1989-10-12,9999-01-01,Engineer
354,83544,Leaf,Baak,1965-01-18,1994-09-05,9999-01-01,Senior Staff
355,83714,Ohad,Kilgore,1965-01-27,2000-10-10,9999-01-01,Engineer
356,83805,Manohar,Harllee,1965-01-23,1987-03-11,9999-01-01,Senior Engineer
357,83941,Zsolt,Hagimont,1965-01-11,1996-10-08,9999-01-01,Staff
358,84029,Babette,Eugenio,1965-01-27,1997-09-21,9999-01-01,Staff
359,84179,Shuichi,Nanard,1965-01-25,1989-03-14,9999-01-01,Senior Engineer
360,84236,Eberhardt,Barriga,1965-01-18,1987-06-04,9999-01-01,Senior Staff
361,84315,Kristina,Baumann,1965-01-23,1996-09-26,9999-01-01,Assistant Engineer
362,84451,Shiv,Aumann,1965-01-20,1998-06-14,9999-01-01,Senior Engineer
363,84508,Tommaso,Vidya,1965-01-17,1998-05-02,9999-01-01,Engineer
364,84840,Sverrir,Neimat,1965-01-14,1996-11-03,9999-01-01,Staff
365,84922,Parke,Unno,1965-01-22,1996-07-01,9999-01-01,Engineer
366,84942,Shin,Fujisaki,1965-01-15,1988-02-23,9999-01-01,Technique Leader
367,85216,Ferdinand,Rosiles,1965-01-18,1997-07-08,9999-01-01,Senior Staff
368,85288,Younwoo,Luders,1965-01-06,1998-12-08,9999-01-01,Engineer
369,85414,Chiradeep,Callaway,1965-01-14,1999-07-30,9999-01-01,Staff
370,85445,Yongdong,Pollock,1965-01-09,1998-03-17,9999-01-01,Staff
371,85702,Udi,Merks,1965-01-04,1997-08-15,9999-01-01,Engineer
372,85874,Pasqua,Taubman,1965-01-30,1986-06-23,9999-01-01,Senior Staff
373,86213,Kristine,Clemencon,1965-01-28,1993-06-01,9999-01-01,Senior Staff
374,86354,Ronghao,Segond,1965-01-27,1993-09-13,9999-01-01,Senior Engineer
375,86422,Jaewon,Thummel,1965-02-01,1985-09-14,9999-01-01,Senior Staff
376,86546,Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01,Engineer
377,86655,Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01,Engineer
378,86672,JoAnne,Anido,1965-01-15,1995-09-15,9999-01-01,Staff
379,87129,Keung,Neiman,1965-01-16,1997-04-13,9999-01-01,Staff
380,87353,Quingbo,Coombs,1965-01-07,1999-01-17,9999-01-01,Senior Engineer
381,87714,Khun,Janetzko,1965-01-16,1989-09-13,9999-01-01,Engineer
382,87729,Yongmin,Roccetti,1965-01-24,1986-12-10,9999-01-01,Senior Staff
383,87783,Conor,Thorensen,1965-01-26,1988-02-24,9999-01-01,Senior Engineer
384,88103,Goo,Bresenham,1965-01-09,1999-01-31,9999-01-01,Senior Staff
385,88411,Lena,Cannane,1965-01-31,2000-01-28,9999-01-01,Engineer
386,88422,Jungsoon,Birsak,1965-01-28,1985-04-03,9999-01-01,Technique Leader
387,88647,Vasiliy,Ratnaker,1965-01-10,1995-08-09,9999-01-01,Engineer
388,88958,Vojin,Coombs,1965-01-22,1995-07-23,9999-01-01,Senior Staff
389,88965,Mang,Hedayat,1965-01-20,1995-05-22,9999-01-01,Engineer
390,89048,Otmar,Birjandi,1965-01-24,1985-03-23,9999-01-01,Senior Engineer
391,89090,Tetsushi,Theuretzbacher,1965-01-26,1990-02-01,9999-01-01,Staff
392,89161,Conal,Yetto,1965-01-07,1991-01-12,9999-01-01,Staff
393,89207,Along,Erol,1965-01-15,1992-10-16,9999-01-01,Senior Staff
394,89346,Mansur,Comyn,1965-01-13,1999-08-31,9999-01-01,Engineer
395,89590,Guther,Rothenberg,1965-01-27,1991-08-08,9999-01-01,Senior Staff
396,89664,Pranjal,Rossi,1965-01-20,1998-07-07,9999-01-01,Staff
397,89680,Aiman,Mawatari,1965-01-27,1988-05-01,9999-01-01,Senior Engineer
398,89806,Xiadong,Shinomoto,1965-01-27,1997-05-24,9999-01-01,Engineer
399,89922,Alexius,Ibel,1965-01-26,1988-04-24,9999-01-01,Senior Engineer
400,89941,Arnould,Weedman,1965-01-23,1989-07-28,9999-01-01,Senior Staff
401,90077,Vivian,Guerreiro,1965-01-24,1991-07-08,9999-01-01,Assistant Engineer
402,90084,Renny,Bale,1965-01-01,1989-11-22,9999-01-01,Senior Engineer
403,90211,Bader,Denis,1965-01-15,1997-10-06,9999-01-01,Engineer
404,90292,Koichi,Assaf,1965-01-09,1990-05-26,9999-01-01,Engineer
405,90518,Fumiko,Chepyzhov,1965-01-24,1988-01-28,9999-01-01,Staff
406,90614,Yonghoan,Trogemann,1965-01-29,1988-09-23,9999-01-01,Engineer
407,90692,Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01,Senior Staff
408,91172,Kazuhisa,Melter,1965-01-19,1987-07-16,9999-01-01,Senior Staff
409,91182,Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01,Engineer
410,91229,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01,Senior Engineer
411,91256,Gunilla,Milicic,1965-01-13,1998-01-09,9999-01-01,Staff
412,91333,Lobel,Stafford,1965-01-27,1998-11-29,9999-01-01,Staff
413,91415,Jamaludin,Nilsson,1965-01-04,1987-01-15,9999-01-01,Senior Staff
414,91648,Dmitry,Msuda,1965-01-29,1988-10-22,9999-01-01,Senior Staff
415,92438,Aria,Kilgore,1965-01-04,1992-04-11,9999-01-01,Engineer
416,92454,Visit,McFarlan,1965-01-24,1987-10-22,9999-01-01,Engineer
417,92577,Zhanqiu,Farrow,1965-01-06,1999-01-10,9999-01-01,Assistant Engineer
418,92598,Ranga,Merro,1965-01-18,1996-05-11,9999-01-01,Assistant Engineer
419,92685,Mang,Atchley,1965-01-26,1995-06-07,9999-01-01,Senior Staff
420,92841,Claude,Candan,1965-01-22,1993-08-04,9999-01-01,Senior Staff
421,92846,Anyuan,Kropatsch,1965-01-11,1986-09-05,9999-01-01,Senior Staff
422,92920,Huei,Hutter,1965-01-20,1993-01-28,9999-01-01,Engineer
423,93040,Jaques,Kabayashi,1965-01-19,1992-03-13,9999-01-01,Senior Engineer
424,93220,Richara,Walston,1965-01-11,1996-08-27,9999-01-01,Senior Engineer
425,93278,Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01,Engineer
426,93549,Arie,Coullard,1965-02-01,2000-03-28,9999-01-01,Senior Staff
427,93600,Kristina,Neimat,1965-01-13,1988-04-18,9999-01-01,Technique Leader
428,94331,Ramzi,Cronau,1965-01-26,1999-09-03,9999-01-01,Technique Leader
429,94416,Aran,Cesareni,1965-01-01,2001-11-20,9999-01-01,Senior Staff
430,94761,Hitofumi,Zaccaria,1965-01-27,1988-11-22,9999-01-01,Senior Engineer
431,94944,Heping,Matheson,1965-01-13,1988-06-24,9999-01-01,Engineer
432,95181,Yishai,Cappelli,1965-01-28,1997-01-30,9999-01-01,Staff
433,95286,Kristin,Guerreiro,1965-01-18,1989-08-23,9999-01-01,Senior Engineer
434,95314,Rasiah,Koblick,1965-01-22,1991-08-21,9999-01-01,Senior Staff
435,95406,Alair,Lyonns,1965-01-08,1997-07-12,9999-01-01,Engineer
436,95416,Gianluca,Ramaiah,1965-01-13,1993-11-29,9999-01-01,Engineer
437,95509,Kristinn,Loncour,1965-01-11,1995-02-08,9999-01-01,Engineer
438,95920,Nobuyoshi,Hegner,1965-01-19,1994-09-07,9999-01-01,Senior Staff
439,96571,Kokou,Garrabrants,1965-01-13,1997-11-05,9999-01-01,Senior Engineer
440,96579,Mohan,Tasistro,1965-01-18,1996-02-10,9999-01-01,Engineer
441,96767,Arumugam,Vecchio,1965-01-07,1985-08-14,9999-01-01,Engineer
442,97018,Jeanna,Chinen,1965-01-09,1989-01-01,9999-01-01,Senior Engineer
443,97623,Haldon,Janetzko,1965-01-25,1990-09-11,9999-01-01,Senior Staff
444,97661,Avishai,Hegner,1965-01-31,1993-05-08,9999-01-01,Senior Staff
445,98288,Sumali,Huttel,1965-01-12,1989-09-12,9999-01-01,Senior Staff
446,98306,Ziya,Kadhim,1965-01-16,1999-06-24,9999-01-01,Senior Engineer
447,98639,Florina,Assaf,1965-01-29,1996-05-18,9999-01-01,Staff
448,99057,Shugo,Reeken,1965-01-30,1999-06-21,9999-01-01,Staff
449,99373,Xiaobin,Christianini,1965-01-13,1985-12-25,9999-01-01,Senior Staff
450,99377,Carrsten,Francisci,1965-01-18,1991-06-16,9999-01-01,Senior Engineer
451,99590,Dhritiman,Anily,1965-01-24,1998-12-16,9999-01-01,Staff
452,99654,Mahendra,Motley,1965-01-30,1985-09-28,9999-01-01,Senior Staff
453,100865,Hisao,Peral,1965-01-19,1990-10-03,9999-01-01,Senior Engineer
454,100916,Heejo,Aamodt,1965-01-18,1992-04-22,9999-01-01,Engineer
455,101487,Abdelaziz,Sury,1965-01-14,1991-01-31,9999-01-01,Staff
456,101647,Mori,Homond,1965-01-22,1994-05-10,9999-01-01,Senior Staff
457,101902,Mantis,Millington,1965-01-14,1991-03-18,9999-01-01,Senior Staff
458,102620,Adin,Templeman,1965-01-03,1999-08-12,9999-01-01,Engineer
459,103196,Djenana,Albarhamtoshy,1965-01-16,1988-07-16,9999-01-01,Senior Staff
460,103310,Visit,Swen,1965-01-07,1995-10-02,9999-01-01,Senior Staff
461,103316,Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01,Engineer
462,103342,Beshir,Hellwagner,1965-01-03,1998-02-03,9999-01-01,Engineer
463,103756,Heping,Halloran,1965-01-31,1992-04-08,9999-01-01,Assistant Engineer
464,104133,Pranjal,Zyda,1965-01-31,1991-07-03,9999-01-01,Staff
465,104845,Werner,Lodder,1965-01-29,1992-06-17,9999-01-01,Senior Staff
466,104988,Parviz,Litzler,1965-01-07,1992-08-08,9999-01-01,Engineer
467,105342,Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01,Technique Leader
468,105356,Diederik,Matzov,1965-01-29,1995-03-08,9999-01-01,Engineer
469,105432,Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01,Engineer
470,105520,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01,Senior Staff
471,105731,Sachem,Cromarty,1965-01-15,1990-08-20,9999-01-01,Assistant Engineer
472,106096,Naftali,Schurmann,1965-01-14,1992-12-02,9999-01-01,Engineer
473,106242,Nevio,Thisen,1965-02-01,1988-03-25,9999-01-01,Senior Staff
474,106695,Lijie,Garrabrants,1965-01-31,1988-10-26,9999-01-01,Senior Staff
475,106710,Babette,Anandan,1965-01-31,1986-11-22,9999-01-01,Senior Staff
476,107486,Siamak,Luiz,1965-01-23,1987-02-11,9999-01-01,Senior Engineer
477,107737,Fabrizio,Chleq,1965-01-23,1999-07-31,9999-01-01,Senior Engineer
478,107792,Shahab,Crooks,1965-01-13,1992-03-18,9999-01-01,Staff
479,107828,Ramya,Walston,1965-01-26,1989-02-03,9999-01-01,Senior Staff
480,108091,Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01,Staff
481,108198,Randi,Samarati,1965-01-24,1992-10-20,9999-01-01,Senior Staff
482,108316,Shai,Stellhorn,1965-01-02,1992-05-21,9999-01-01,Senior Engineer
483,108988,Oksana,Baek,1965-01-19,1989-07-20,9999-01-01,Senior Staff
484,109062,Jamaludin,Kandlur,1965-02-01,1992-06-19,9999-01-01,Senior Engineer
485,109211,Gor,Delgrande,1965-01-11,2002-06-18,9999-01-01,Engineer
486,109252,Moty,Winter,1965-01-15,1991-04-28,9999-01-01,Technique Leader
487,109278,Bangqing,Schach,1965-01-21,1988-03-22,9999-01-01,Senior Staff
488,109552,Menkae,Etalle,1965-01-31,1997-05-21,9999-01-01,Engineer
489,109598,Stamatina,Auyong,1965-02-01,1988-07-05,9999-01-01,Senior Staff
490,109620,Mani,Cannata,1965-01-02,1989-06-21,9999-01-01,Staff
491,109703,Arco,Walston,1965-01-17,1999-08-16,9999-01-01,Engineer
492,109741,Hatem,Fadgyas,1965-01-11,1991-11-13,9999-01-01,Senior Engineer
493,109953,Godehard,Chorvat,1965-01-26,1988-04-10,9999-01-01,Senior Staff
494,200267,Chuanti,Luff,1965-01-08,1994-09-21,9999-01-01,Senior Staff
495,200312,Akemi,Fujisaki,1965-01-27,2001-11-13,9999-01-01,Senior Engineer
496,200363,Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01,Senior Engineer
497,200735,Dinah,Denos,1965-01-09,1992-09-21,9999-01-01,Senior Staff
498,200789,Susumu,Camurati,1965-01-14,1991-12-15,9999-01-01,Staff
499,201229,Alejandra,Khasidashvili,1965-01-03,1994-07-30,9999-01-01,Staff
500,201708,Anneli,Perl,1965-01-15,1992-09-08,9999-01-01,Senior Staff
501,201709,Fan,Kakkad,1965-01-01,1988-02-25,9999-01-01,Staff
502,201739,Genta,Terekhov,1965-01-16,1998-07-21,9999-01-01,Assistant Engineer
503,201801,Waiman,Genin,1965-01-12,1988-10-30,9999-01-01,Senior Engineer
504,201915,Sudharsan,DeMori,1965-01-02,1992-03-30,9999-01-01,Senior Engineer
505,202291,Ortrun,Schmiedel,1965-01-16,1997-07-18,9999-01-01,Engineer
506,202403,Gully,Perko,1965-01-09,1999-07-07,9999-01-01,Engineer
507,202414,Zvonko,Murthy,1965-01-13,1992-01-07,9999-01-01,Senior Staff
508,202552,Morris,Saoudi,1965-01-05,1991-11-22,9999-01-01,Senior Engineer
509,202826,Kerhong,Matzke,1965-01-19,1986-11-14,9999-01-01,Engineer
510,202882,Isaac,Koshino,1965-01-25,1995-09-28,9999-01-01,Senior Engineer
511,202950,Giordano,Pietrzykowski,1965-01-17,1987-03-26,9999-01-01,Senior Staff
512,203474,Hugh,Jonsson,1965-01-03,1991-07-06,9999-01-01,Senior Staff
513,203495,Zongyan,Gips,1965-01-02,1997-05-31,9999-01-01,Technique Leader
514,203599,Ewing,DiGiano,1965-01-21,2000-02-01,9999-01-01,Technique Leader
515,203720,Sasan,Thimonier,1965-01-30,1996-08-21,9999-01-01,Senior Staff
516,203946,Yefim,Marwedel,1965-01-23,1993-03-30,9999-01-01,Senior Staff
517,204117,Jessie,Nooteboom,1965-01-10,2000-12-13,9999-01-01,Staff
518,204133,Susuma,Bergere,1965-01-22,1996-02-25,9999-01-01,Senior Staff
519,204246,Arve,Worfolk,1965-01-09,1985-04-01,9999-01-01,Senior Staff
520,204425,Gretta,Huttel,1965-01-03,1990-10-08,9999-01-01,Senior Engineer
521,204470,Hein,Lichtner,1965-01-22,1998-05-02,9999-01-01,Senior Staff
522,204471,Franziska,Maginnis,1965-01-27,1986-02-17,9999-01-01,Engineer
523,204764,Susanne,Mandelberg,1965-01-22,1990-11-02,9999-01-01,Senior Engineer
524,205018,Yahiko,Awdeh,1965-01-26,1998-08-05,9999-01-01,Engineer
525,205085,Moni,Kornyak,1965-01-23,1991-09-26,9999-01-01,Technique Leader
526,205174,Leszek,Spinelli,1965-01-05,1998-12-10,9999-01-01,Staff
527,205500,Mary,Setiz,1965-01-04,1989-01-13,9999-01-01,Senior Engineer
528,205627,Stabislas,Broder,1965-01-21,1996-07-16,9999-01-01,Senior Engineer
529,205660,Kien,Barreiro,1965-01-27,2000-10-24,9999-01-01,Staff
530,205699,Youjian,Yetto,1965-01-31,1994-12-07,9999-01-01,Senior Staff
531,205789,Limsoon,Skafidas,1965-01-31,1999-08-10,9999-01-01,Senior Staff
532,205863,Aiichiro,Kusalik,1965-01-06,1990-10-04,9999-01-01,Engineer
533,206748,Yucai,Fabrizio,1965-01-07,1999-10-06,9999-01-01,Staff
534,206836,Guadalupe,Pfau,1965-01-12,1993-03-22,9999-01-01,Senior Staff
535,206966,Tzu,Sichman,1965-01-21,1987-11-17,9999-01-01,Engineer
536,207021,Jacqueline,Akaboshi,1965-01-20,1997-12-06,9999-01-01,Engineer
537,207068,Zhiguo,Ariola,1965-01-13,1994-09-07,9999-01-01,Senior Staff
538,207204,Kellie,Schrooten,1965-01-25,1991-01-17,9999-01-01,Assistant Engineer
539,207401,Shuji,Barbanera,1965-01-04,1987-08-10,9999-01-01,Senior Staff
540,207551,Baziley,Falck,1965-01-15,1995-02-18,9999-01-01,Assistant Engineer
541,207779,Chinya,Kamble,1965-01-16,1992-05-31,9999-01-01,Senior Staff
542,207980,Remko,Vieth,1965-01-07,1990-11-22,9999-01-01,Staff
543,208147,Manu,Rothenberg,1965-01-09,1988-12-06,9999-01-01,Senior Engineer
544,208330,Shen,Flanders,1965-01-11,1989-07-03,9999-01-01,Staff
545,208639,Larisa,Lukaszewicz,1965-01-27,1996-10-30,9999-01-01,Staff
546,208653,Phillip,Schade,1965-01-23,1989-03-03,9999-01-01,Engineer
547,208784,Pranjal,Juneja,1965-01-30,1985-03-21,9999-01-01,Senior Engineer
548,209101,Xinyu,Edelhoff,1965-01-05,1997-10-26,9999-01-01,Senior Engineer
549,209443,Krassimir,Garnier,1965-01-19,1998-01-26,9999-01-01,Senior Staff
550,209565,Dante,Covnot,1965-01-09,1989-05-28,9999-01-01,Staff
551,209712,Nimmagadda,Baak,1965-01-17,1987-10-30,9999-01-01,Engineer
552,210017,Shalesh,Lovengreen,1965-01-28,1990-09-29,9999-01-01,Staff
553,210292,Lihong,Zeilberger,1965-01-18,1996-04-28,9999-01-01,Staff
554,210449,Gino,Lagarias,1965-01-19,1997-06-22,9999-01-01,Engineer
555,210752,Saniya,Stenning,1965-01-25,1986-12-10,9999-01-01,Staff
556,210786,Werner,Ranze,1965-01-31,1998-06-05,9999-01-01,Staff
557,211858,Domenico,Ratnaker,1965-01-08,1985-03-24,9999-01-01,Engineer
558,211879,Gao,Ranze,1965-01-12,1994-11-24,9999-01-01,Engineer
559,211967,Anwar,Bain,1965-01-07,1989-01-22,9999-01-01,Engineer
560,212093,Leni,Henders,1965-01-11,1993-11-19,9999-01-01,Senior Staff
561,212154,Sailaja,Holburn,1965-01-17,1991-03-04,9999-01-01,Senior Staff
562,212361,Claudi,Stanfel,1965-01-16,1996-01-07,9999-01-01,Engineer
563,213016,Yongmao,Fontan,1965-01-22,1993-07-26,9999-01-01,Engineer
564,213140,Tru,Danecki,1965-01-10,1997-03-31,9999-01-01,Staff
565,213384,Pranas,Narwekar,1965-01-04,1985-09-26,9999-01-01,Senior Engineer
566,213447,Armond,Perly,1965-02-01,1989-09-14,9999-01-01,Engineer
567,214215,Xiaoqiang,Cardazo,1965-01-25,1993-05-28,9999-01-01,Senior Staff
568,214391,Rayond,Klassen,1965-01-15,1993-09-11,9999-01-01,Senior Staff
569,214427,Peer,Molberg,1965-01-29,1996-11-17,9999-01-01,Engineer
570,214539,Ingmar,Kohling,1965-01-27,1995-04-25,9999-01-01,Engineer
571,214634,Shirish,Vickson,1965-01-12,1989-10-24,9999-01-01,Senior Engineer
572,214789,Arfst,Chepyzhov,1965-01-28,1989-02-06,9999-01-01,Senior Engineer
573,214866,Gopalakrishnan,Angel,1965-02-01,1997-07-05,9999-01-01,Senior Engineer
574,214995,Dinkar,Hoppenstand,1965-01-12,1994-05-04,9999-01-01,Engineer
575,215419,Flemming,Kroha,1965-01-16,1995-01-23,9999-01-01,Staff
576,215629,Munehiro,Manders,1965-01-15,1987-05-18,9999-01-01,Senior Staff
577,215746,Sven,Speer,1965-01-08,1999-07-08,9999-01-01,Staff
578,215843,Pramod,Loncour,1965-01-30,1987-03-31,9999-01-01,Senior Staff
579,216054,Sahrah,Angiulli,1965-01-24,1986-07-31,9999-01-01,Senior Staff
580,216342,Aiichiro,Cromarty,1965-01-22,1995-06-10,9999-01-01,Engineer
581,216375,Byong,Gustavson,1965-01-16,1985-03-12,9999-01-01,Senior Engineer
582,216502,Xiaocheng,Suermann,1965-01-26,1997-12-15,9999-01-01,Engineer
583,216573,Ashish,Vidya,1965-01-29,1989-06-16,9999-01-01,Senior Engineer
584,216921,Lena,Lenart,1965-01-22,1990-12-25,9999-01-01,Staff
585,217026,Otmar,Engberts,1965-01-11,1993-08-16,9999-01-01,Staff
586,217080,Masami,Puoti,1965-01-12,2000-01-21,9999-01-01,Senior Engineer
587,217272,Yuchang,Eldridge,1965-01-21,1986-08-01,9999-01-01,Staff
588,217286,Yannik,Spelt,1965-01-05,1992-09-22,9999-01-01,Technique Leader
589,217320,Abdelwaheb,Denis,1965-01-10,1993-09-10,9999-01-01,Engineer
590,217363,Horward,Marzano,1965-01-14,1996-04-11,9999-01-01,Staff
591,217387,Jianhao,Molenaar,1965-01-21,1987-10-22,9999-01-01,Senior Engineer
592,217551,Panayotis,Lukaszewicz,1965-01-02,1989-06-06,9999-01-01,Senior Engineer
593,217800,Shay,Servieres,1965-02-01,1998-08-06,9999-01-01,Senior Staff
594,218022,Mokhtar,Poupard,1965-01-26,1992-02-02,9999-01-01,Technique Leader
595,218100,Jiong,Garnham,1965-01-24,1990-01-02,9999-01-01,Senior Staff
596,218831,Unal,DuBourdieux,1965-01-16,1996-03-13,9999-01-01,Engineer
597,219035,Kristine,Bierman,1965-01-18,1988-05-13,9999-01-01,Technique Leader
598,219047,Aemilian,Kusalik,1965-01-30,1987-05-27,9999-01-01,Engineer
599,219052,Marsal,Acton,1965-01-06,1995-08-02,9999-01-01,Staff
600,219417,Subhrajyoti,Denna,1965-01-29,1996-07-25,9999-01-01,Staff
601,219497,Moie,Zastre,1965-01-22,1991-10-11,9999-01-01,Technique Leader
602,219967,Susanna,Reeken,1965-01-16,1998-03-16,9999-01-01,Senior Staff
603,220029,Demos,Asser,1965-01-17,1985-11-04,9999-01-01,Senior Engineer
604,220131,Reinhard,Slaats,1965-01-09,1994-06-08,9999-01-01,Engineer
605,220418,Poorav,Laventhal,1965-01-23,1997-08-16,9999-01-01,Staff
606,220528,Sibyl,Rabehasaina,1965-01-06,1998-02-23,9999-01-01,Senior Staff
607,220582,Poornachandra,Zielinski,1965-01-08,1996-02-13,9999-01-01,Senior Staff
608,220611,Yuping,Babb,1965-01-23,1995-01-31,9999-01-01,Senior Staff
609,220625,Shigenori,Deville,1965-01-25,1992-12-24,9999-01-01,Technique Leader
610,220699,Nahid,Gyimothy,1965-01-07,1995-08-18,9999-01-01,Staff
611,220799,Perla,Orlowska,1965-01-17,1998-10-13,9999-01-01,Senior Engineer
612,221126,Tesuya,dAstous,1965-01-23,1988-11-29,9999-01-01,Engineer
613,221367,Saddek,Farris,1965-01-13,1990-11-06,9999-01-01,Senior Staff
614,221369,Abdulah,Pocchiola,1965-01-28,1996-08-28,9999-01-01,Engineer
615,221435,Djenana,Marrevee,1965-01-06,1994-02-06,9999-01-01,Engineer
616,221973,Sangeeta,Kalefeld,1965-01-17,1990-06-06,9999-01-01,Staff
617,222206,Stein,Uludag,1965-01-21,1988-01-30,9999-01-01,Senior Staff
618,222311,Miyeon,Billingsley,1965-01-20,1992-12-05,9999-01-01,Senior Engineer
619,222319,Matt,Chvatal,1965-01-20,1994-11-09,9999-01-01,Senior Engineer
620,222354,Valdiodio,Schlumberger,1965-01-15,1993-08-07,9999-01-01,Assistant Engineer
621,222616,Badri,Schapire,1965-02-01,1998-01-19,9999-01-01,Assistant Engineer
622,222770,Kazuhiko,Kushner,1965-01-22,1995-08-01,9999-01-01,Senior Engineer
623,222878,Annemarie,Zallocco,1965-01-10,1996-12-01,9999-01-01,Senior Engineer
624,222926,Limsoon,Erol,1965-01-10,1997-12-31,9999-01-01,Senior Engineer
625,222952,Gopalakrishnan,Suermann,1965-01-28,1991-04-30,9999-01-01,Engineer
626,222998,Leaf,Awdeh,1965-01-07,1992-10-02,9999-01-01,Staff
627,223593,Hidefumi,Moehrke,1965-01-20,1998-03-04,9999-01-01,Staff
628,223595,Chiranjit,Dredge,1965-02-01,1999-09-05,9999-01-01,Technique Leader
629,224135,Annemarie,Bressoud,1965-01-02,1998-06-23,9999-01-01,Engineer
630,224335,Perry,Chachaty,1965-01-29,1985-07-22,9999-01-01,Senior Engineer
631,224390,True,Shobatake,1965-01-24,1996-05-17,9999-01-01,Senior Staff
632,224934,George,Miake,1965-01-05,1988-01-02,9999-01-01,Staff
633,225438,Remmert,Quaggetto,1965-01-14,1992-04-28,9999-01-01,Staff
634,225601,Masasuke,Genin,1965-01-13,1994-06-25,9999-01-01,Engineer
635,225788,Ipke,Kieras,1965-01-08,1995-12-18,9999-01-01,Engineer
636,225867,Ramalingam,Remmele,1965-01-26,1999-09-03,9999-01-01,Senior Engineer
637,225964,Mooi,Cooman,1965-01-19,1989-06-07,9999-01-01,Engineer
638,226216,Giordano,Gini,1965-01-28,1993-08-14,9999-01-01,Technique Leader
639,226227,Herbert,Erva,1965-01-07,1986-09-06,9999-01-01,Engineer
640,227354,Gio,Murtha,1965-01-12,1986-11-11,9999-01-01,Engineer
641,227476,Macha,Schnabel,1965-01-11,1988-05-11,9999-01-01,Engineer
642,227681,Mikhail,Rousseau,1965-01-30,1998-11-30,9999-01-01,Staff
643,227899,Garnik,Luce,1965-01-23,1998-09-15,9999-01-01,Staff
644,227901,Francesca,Azuma,1965-01-26,1996-06-08,9999-01-01,Senior Staff
645,228098,IEEE,Kroll,1965-01-18,1998-02-17,9999-01-01,Engineer
646,228248,Yuriy,Plump,1965-01-09,1988-09-08,9999-01-01,Senior Staff
647,228554,Bilhanan,Brendel,1965-01-03,1990-12-23,9999-01-01,Senior Staff
